                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.431,                 1.9054,                 1.4186,                0.73431,                0.66895,                0.72005,                0.41809,                 1.4174,                 1.3417,                 1.4024,              0.0033162,              0.0033162,              0.0033162
                      2,                  1.305,                 1.2124,                 1.2821,                0.76214,                0.67692,                0.75259,                0.46864,                 1.3128,                 1.1226,                 1.2972,              0.0066276,              0.0066276,              0.0066276
                      3,                 1.3261,                 1.1493,                 1.2929,                0.73673,                0.64492,                0.71732,                0.42299,                 1.4518,                 1.2329,                 1.4194,               0.009917,               0.009917,               0.009917
                      4,                 1.3344,                 1.1167,                 1.3102,                0.70946,                0.58653,                 0.6348,                0.33152,                 1.6133,                 1.4207,                 1.6166,               0.009901,               0.009901,               0.009901
                      5,                 1.3098,                 1.0551,                 1.3082,                0.76718,                0.68824,                0.76444,                0.47142,                 1.3721,                   1.05,                 1.3836,               0.009868,               0.009868,               0.009868
                      6,                 1.3127,                 1.0249,                 1.3117,                0.80471,                0.68877,                0.78743,                0.49398,                  1.289,                0.97341,                 1.3048,               0.009835,               0.009835,               0.009835
                      7,                 1.2948,                0.98842,                 1.2985,                0.80072,                0.69665,                0.79185,                0.48878,                 1.3018,                  1.016,                 1.3095,               0.009802,               0.009802,               0.009802
                      8,                 1.2702,                 0.9455,                 1.2858,                0.75679,                 0.7196,                0.78196,                0.50606,                 1.2815,                0.95921,                 1.3022,               0.009769,               0.009769,               0.009769
                      9,                 1.2766,                0.95082,                  1.283,                 0.7803,                0.71507,                0.78693,                0.50147,                 1.2974,                0.93759,                 1.3067,               0.009736,               0.009736,               0.009736
                     10,                 1.2564,                0.92146,                 1.2744,                0.78847,                0.70021,                0.79023,                  0.505,                 1.2882,                0.92545,                  1.312,               0.009703,               0.009703,               0.009703
                     11,                 1.2724,                0.93013,                  1.281,                0.79237,                0.71113,                0.79998,                0.50778,                 1.2844,                0.99938,                 1.3064,                0.00967,                0.00967,                0.00967
                     12,                 1.2514,                0.91621,                 1.2761,                0.80085,                0.69455,                0.79155,                0.50053,                 1.2684,                0.94057,                  1.297,               0.009637,               0.009637,               0.009637
                     13,                 1.2332,                0.88328,                 1.2629,                0.77673,                0.70383,                0.79875,                0.51052,                 1.2592,                0.92765,                 1.2856,               0.009604,               0.009604,               0.009604
                     14,                 1.2243,                0.88306,                 1.2602,                0.78362,                0.68929,                0.77292,                0.50431,                 1.2571,                0.91797,                 1.3008,               0.009571,               0.009571,               0.009571
                     15,                 1.2237,                0.87198,                 1.2655,                0.78241,                0.71481,                0.79313,                0.51616,                 1.2535,                0.87911,                  1.292,               0.009538,               0.009538,               0.009538
                     16,                 1.2184,                0.86628,                 1.2611,                  0.758,                0.70639,                0.77207,                0.48776,                   1.29,                0.93146,                  1.312,               0.009505,               0.009505,               0.009505
                     17,                 1.2344,                 0.8793,                 1.2594,                0.79301,                0.71865,                0.79676,                0.50956,                 1.2659,                0.88567,                 1.3049,               0.009472,               0.009472,               0.009472
                     18,                  1.207,                0.85444,                 1.2468,                 0.7868,                0.73796,                 0.8144,                0.53412,                  1.246,                0.83996,                 1.2807,               0.009439,               0.009439,               0.009439
                     19,                  1.203,                0.84665,                 1.2506,                0.79944,                0.71718,                0.80763,                0.53119,                 1.2265,                0.85191,                 1.2671,               0.009406,               0.009406,               0.009406
                     20,                 1.2087,                0.84822,                 1.2493,                0.78568,                 0.7377,                0.81454,                 0.5307,                 1.2428,                0.84776,                 1.2906,               0.009373,               0.009373,               0.009373
                     21,                 1.2024,                0.83341,                  1.241,                0.78985,                0.72281,                0.81001,                0.52536,                 1.2384,                0.86185,                 1.2849,                0.00934,                0.00934,                0.00934
                     22,                 1.2083,                0.84058,                 1.2479,                0.78712,                0.73218,                0.81077,                0.51863,                 1.2569,                0.85778,                 1.2889,               0.009307,               0.009307,               0.009307
                     23,                  1.184,                0.82951,                 1.2472,                0.81289,                 0.7155,                0.81697,                0.53104,                 1.2403,                0.85287,                 1.2724,               0.009274,               0.009274,               0.009274
                     24,                 1.2065,                0.83434,                 1.2416,                0.79552,                0.72567,                 0.8156,                0.53449,                 1.2362,                0.84125,                 1.2708,               0.009241,               0.009241,               0.009241
                     25,                 1.1894,                0.81596,                 1.2372,                0.81228,                0.72007,                0.81264,                0.52949,                 1.2326,                0.83114,                 1.2669,               0.009208,               0.009208,               0.009208
                     26,                 1.1816,                  0.814,                 1.2291,                0.81101,                0.70639,                0.80704,                0.52541,                 1.2419,                0.83716,                  1.283,               0.009175,               0.009175,               0.009175
                     27,                 1.1889,                0.81027,                 1.2257,                0.79803,                0.73428,                0.82385,                0.54223,                 1.2287,                0.81064,                 1.2626,               0.009142,               0.009142,               0.009142
                     28,                 1.1776,                0.80318,                 1.2262,                0.78112,                0.72323,                0.79665,                 0.5201,                  1.238,                0.86354,                 1.2648,               0.009109,               0.009109,               0.009109
                     29,                 1.1858,                0.80522,                 1.2277,                0.80292,                0.70455,                0.80507,                 0.5171,                 1.2489,                0.87097,                 1.2685,               0.009076,               0.009076,               0.009076
