                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1595,                0.77536,                 1.2236,                0.79147,                0.74489,                 0.8224,                0.54401,                 1.2118,                0.80265,                 1.2411,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.1563,                0.77703,                 1.2198,                0.77721,                 0.7477,                0.82432,                0.54428,                 1.2255,                 0.8008,                 1.2519,               0.001538,               0.001538,               0.001538
                     37,                 1.1372,                0.75546,                 1.2079,                0.80006,                 0.7327,                0.81903,                0.54469,                 1.2225,                0.80094,                   1.25,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.1439,                0.76421,                 1.2111,                  0.777,                0.75322,                0.82432,                0.54625,                  1.222,                0.79402,                 1.2568,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.1419,                0.76011,                 1.2164,                0.81004,                0.72086,                0.82114,                0.53562,                 1.2397,                0.80415,                 1.2686,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.1398,                0.76006,                 1.2124,                0.78566,                 0.7435,                0.82164,                0.54332,                 1.2304,                0.79142,                 1.2615,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.1394,                0.74578,                 1.2023,                 0.8065,                0.73139,                0.82435,                0.54361,                 1.2224,                0.80072,                 1.2439,               0.001472,               0.001472,               0.001472
                     42,                 1.1199,                 0.7512,                 1.2068,                0.80836,                0.73875,                0.82557,                0.54686,                 1.2147,                0.79045,                 1.2575,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.1361,                0.74517,                 1.1903,                0.80444,                0.73981,                0.83287,                0.55028,                 1.2141,                0.79415,                 1.2414,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.1452,                0.74302,                 1.2034,                 0.7986,                0.74244,                0.82767,                0.54856,                 1.2052,                0.78608,                 1.2409,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.1369,                0.74692,                 1.1963,                0.78081,                0.75164,                0.82214,                0.54762,                 1.2037,                0.79634,                 1.2349,              0.0014192,              0.0014192,              0.0014192
                     46,                  1.113,                0.74122,                  1.196,                 0.8071,                0.71639,                0.82187,                 0.5456,                 1.2228,                0.78919,                 1.2509,               0.001406,               0.001406,               0.001406
                     47,                 1.1047,                0.72097,                 1.1899,                0.79453,                0.73402,                0.82078,                 0.5412,                 1.2251,                0.81174,                 1.2593,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.1282,                0.73501,                 1.1934,                 0.8042,                0.72829,                0.82999,                0.55437,                 1.1995,                0.77384,                 1.2304,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.1064,                0.73138,                 1.1963,                 0.8142,                0.72849,                0.82659,                0.54694,                   1.21,                0.77233,                  1.241,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.1129,                0.72588,                 1.1893,                0.79808,                0.73796,                0.82777,                0.54901,                 1.2116,                0.77115,                 1.2422,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.1045,                0.72299,                 1.1807,                0.78158,                0.75059,                0.82453,                 0.5462,                 1.2102,                0.79082,                 1.2423,                0.00134,                0.00134,                0.00134
                     52,                 1.0847,                0.71177,                 1.1823,                0.80049,                0.74209,                0.82596,                0.54848,                 1.2006,                0.77809,                 1.2394,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.1125,                0.72355,                 1.1861,                0.78903,                0.74849,                0.83192,                0.54745,                 1.2189,                0.80715,                 1.2358,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.0853,                0.70926,                  1.173,                0.79991,                0.72679,                0.81408,                0.54561,                 1.2146,                0.79834,                 1.2432,              0.0013004,              0.0013004,              0.0013004
                     55,                 1.1118,                0.72042,                 1.1843,                0.79241,                0.72849,                0.82073,                  0.544,                 1.2109,                0.79385,                 1.2378,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.0917,                0.70396,                 1.1741,                0.78513,                0.74311,                0.82543,                0.54756,                 1.2193,                0.77227,                 1.2502,               0.001274,               0.001274,               0.001274
                     57,                 1.1059,                0.70791,                 1.1896,                0.81806,                0.72278,                0.82209,                0.55175,                  1.194,                0.78808,                 1.2301,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.1042,                0.70655,                 1.1795,                0.79415,                0.73892,                0.82432,                 0.5465,                 1.2039,                0.78015,                  1.236,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.0896,                0.70148,                 1.1798,                0.79179,                0.75038,                0.82742,                0.54838,                 1.2156,                0.77467,                 1.2426,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.0822,                0.70378,                 1.1748,                0.79355,                 0.7382,                0.82564,                0.55091,                 1.2067,                0.77534,                 1.2397,              0.0012212,              0.0012212,              0.0012212
