                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                  1.534,                 1.3965,                0.70656,                0.62799,                0.67195,                  0.377,                 1.5067,                 1.4451,                 1.5095,             0.00066325,             0.00066325,             0.00066325
                      2,                 1.3861,                 1.1837,                 1.3462,                0.72089,                0.59221,                0.65261,                0.35127,                  1.555,                 1.3714,                 1.5694,              0.0013233,              0.0013233,              0.0013233
                      3,                 1.3921,                 1.1213,                 1.3521,                0.72532,                0.59616,                0.66231,                0.36664,                 1.5645,                 1.3993,                 1.5625,              0.0019768,              0.0019768,              0.0019768
                      4,                 1.3527,                 1.0743,                  1.342,                0.75129,                0.69008,                0.75713,                0.44097,                 1.3758,                 1.0335,                  1.395,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3269,                 1.0155,                 1.3336,                0.76358,                0.67535,                0.75586,                0.47356,                 1.3407,                 1.0193,                 1.3833,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.3143,                  1.001,                 1.3232,                0.78848,                 0.6885,                0.77854,                0.47858,                 1.3453,                 0.9882,                  1.348,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.2971,                0.97316,                 1.3114,                0.77037,                0.70376,                 0.7706,                0.45471,                  1.381,                 1.0374,                 1.3752,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.2669,                0.93653,                 1.2917,                0.77634,                0.68217,                0.76833,                 0.4912,                 1.3168,                0.96123,                 1.3277,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.2726,                0.94511,                 1.2901,                0.78182,                0.69903,                 0.7862,                0.50744,                 1.2904,                0.91737,                 1.3107,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.2468,                0.91154,                 1.2786,                0.78678,                0.70218,                0.79359,                0.50776,                 1.2962,                0.91852,                 1.3041,              0.0019109,              0.0019109,              0.0019109
