                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                  1.534,                 1.3965,                0.70656,                0.62799,                0.67195,                  0.377,                 1.5067,                 1.4451,                 1.5095,             0.00066325,             0.00066325,             0.00066325
                      2,                 1.3815,                 1.1774,                 1.3462,                0.72233,                0.61352,                 0.6752,                0.38253,                  1.507,                  1.422,                 1.5209,              0.0013167,              0.0013167,              0.0013167
                      3,                 1.3955,                 1.1296,                 1.3606,                0.73501,                0.67982,                0.74421,                0.42918,                 1.4134,                 1.3169,                 1.4005,               0.001957,               0.001957,               0.001957
                      4,                 1.3559,                 1.0753,                 1.3442,                0.77633,                0.67115,                0.76932,                0.46177,                 1.4172,                 1.0456,                  1.424,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3196,                 1.0175,                 1.3281,                0.75688,                0.67587,                0.75487,                0.45929,                 1.3684,                   1.04,                 1.3732,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3112,                0.99627,                 1.3172,                0.77944,                0.68272,                0.77178,                0.48316,                 1.3434,                 0.9748,                 1.3537,               0.001901,               0.001901,               0.001901
                      7,                 1.2922,                0.97452,                 1.3088,                0.78948,                0.67851,                0.78348,                0.46923,                 1.3479,                0.98853,                 1.3675,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2691,                0.93345,                 1.2929,                0.80153,                0.67798,                0.77323,                0.48827,                 1.3071,                0.96771,                 1.3307,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2692,                0.93957,                 1.2933,                0.78024,                0.69271,                0.77541,                0.48637,                 1.3215,                0.97205,                 1.3344,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2434,                 0.9078,                 1.2741,                0.78896,                0.70061,                0.79383,                 0.5084,                 1.3014,                0.92107,                 1.3085,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2699,                0.90973,                 1.2795,                0.79533,                0.71087,                0.79852,                0.50157,                 1.2913,                0.94344,                 1.3012,               0.001802,               0.001802,               0.001802
                     12,                 1.2473,                0.90243,                 1.2731,                0.79075,                0.71186,                 0.8048,                 0.5109,                 1.2925,                0.87811,                 1.3103,              0.0017822,              0.0017822,              0.0017822
