                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.484,                 1.8293,                 1.4333,                0.73607,                0.60684,                0.70104,                0.40628,                 1.4183,                 1.3204,                 1.3365,              0.0033214,              0.0033214,              0.0033214
                      2,                 1.3665,                 1.2081,                 1.3192,                0.71129,                0.67466,                0.73443,                0.42084,                 1.4147,                 1.2346,                 1.3505,              0.0066108,              0.0066108,              0.0066108
                      3,                 1.3908,                 1.1492,                 1.3348,                0.75549,                 0.6708,                0.73556,                0.41212,                 1.4709,                 1.1766,                 1.4025,              0.0098563,              0.0098563,              0.0098563
                      4,                 1.4168,                  1.125,                 1.3623,                0.72402,                 0.6704,                0.72538,                0.42303,                 1.4394,                 1.1122,                  1.381,               0.009802,               0.009802,               0.009802
                      5,                 1.4121,                 1.0812,                 1.3539,                0.77902,                 0.6734,                0.76048,                0.43668,                 1.4356,                 1.0592,                 1.3966,               0.009736,               0.009736,               0.009736
                      6,                 1.3921,                 1.0438,                 1.3415,                0.75819,                0.68519,                0.76374,                0.45749,                 1.3659,                0.98801,                 1.3541,                0.00967,                0.00967,                0.00967
                      7,                 1.3844,                 1.0066,                 1.3402,                0.77911,                0.68079,                0.77124,                0.46399,                 1.3737,                0.97964,                 1.3132,               0.009604,               0.009604,               0.009604
                      8,                 1.3586,                0.98853,                 1.3201,                0.75194,                0.67879,                0.75632,                0.45187,                 1.3865,                 1.1335,                 1.3406,               0.009538,               0.009538,               0.009538
                      9,                 1.3511,                0.96829,                 1.3272,                0.76774,                  0.701,                0.78235,                0.47474,                 1.3544,                0.94569,                 1.3131,               0.009472,               0.009472,               0.009472
                     10,                 1.3589,                0.97144,                 1.3207,                0.78149,                0.68019,                0.77767,                0.47078,                 1.3752,                0.96909,                 1.3425,               0.009406,               0.009406,               0.009406
